"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"ODF3L2",0.83,1.3,1.4,1.5,1.1,1.1,1.6,1.1,0.81,1.1,2,0.99,1.4,1,0.88,0.77,0.95,1.1,1.2,1.3,0.75,2.2,2.6,0.78,1.5,0.89,1.2,0.9,0.68,0.84,0.74,1.5,1
"ODF4",1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ODR4",1.3,1,1.2,1.6,1.1,0.71,1.4,1,0.88,1.1,2.3,0.79,1.9,1.2,1.1,1.1,1.2,1,0.77,0.91,1.3,1.1,1.5,0.94,0.92,0.87,0.97,0.56,1.3,1.7,1.1,0.81,2
"OFCC1",1,1,1,0.73,0.6,1.1,1,0.88,1,1,1,1,1,1,1,1,1,0.88,1,1,0.86,1,1,1,1,1.3,1.1,0.64,1,1,1,0.74,1
"OFD1",2.5,0.58,0.72,0.54,0.53,0.73,2.2,1.7,0.84,0.73,3.2,1.2,0.83,2,1.5,1.3,0.86,0.77,0.87,0.85,0.94,1.9,2.8,0.82,1.1,0.71,0.89,0.45,0.73,1.5,1.1,0.77,1.3
"OFD1P17",1,1.2,1.1,0.62,0.86,1,1,0.68,1.4,1,2.1,1.4,1.2,0.83,0.93,1,0.87,0.75,0.98,0.85,0.97,3.1,0.58,1,1,1,0.91,1,0.43,1,1,1.1,1
"OGDH",0.64,1.3,1.3,1.2,0.62,0.61,2.1,0.99,1.2,1.1,3.5,1,0.38,1,1.6,1.1,1.3,0.99,1.1,1.2,1.2,0.63,0.68,1.2,0.9,1.1,1,0.43,2,1.6,1.5,1,3.5
"OGDHL",0.37,0.92,0.93,1.3,1,0.91,1.1,0.88,1.2,0.97,0.82,1,0.35,0.86,0.74,0.75,0.94,1.1,0.63,1.3,0.55,2,0.84,0.82,1.3,1.4,1.3,1.1,3.9,7.6,0.95,0.92,0.31
"OGFOD1",2.2,1.1,1.1,1.4,0.3,0.72,1.2,0.82,0.88,1.1,1.9,0.65,0.94,1.2,1.4,1.4,1.3,1.2,1,0.96,1.3,2,2.2,0.63,1.2,1,0.99,4.1,2.1,1.4,0.9,1.3,1.4
"OGFOD1P1",1,1,0.77,0.89,1.8,1,0.29,0.86,1.2,1,1.5,1.2,1,0.86,1.2,1,1,1,1.2,0.94,0.46,5.5,0.87,1,0.98,0.91,0.91,0.44,2,3.9,0.96,0.63,0.81
"OGFOD2",1.3,0.84,1.4,0.98,0.94,1,1,1.1,1.3,0.88,3.5,1.1,1.1,1.1,1.7,1.1,0.97,0.88,0.84,1.2,0.86,1.2,1.3,0.54,0.85,1.2,1,0.98,1.3,0.62,1,0.61,1.9
"OGFOD3",1.1,1.1,1,0.76,1.5,0.66,0.13,1.3,1.6,1,3.2,0.91,0.5,1,1.5,1.3,1.2,1.2,0.94,0.94,0.82,1,0.44,1.1,1.3,1.1,0.83,0.36,0.75,1.5,1.6,0.85,1.8
"OGFR",1.2,0.85,0.82,0.74,0.59,1.2,0.59,1.2,1.1,1,0.23,0.86,1,1.7,1.8,1.2,1,1.2,0.83,0.99,0.66,1.8,3.9,0.79,0.67,0.7,0.79,1.4,0.84,3.2,1.9,0.98,2.2
"OGFRL1",0.55,1.3,0.8,0.86,0.44,1.1,2,0.68,0.93,0.78,1.4,0.61,0.91,1.1,0.83,1.7,0.91,0.88,0.76,1.1,1.2,2,0.6,0.79,0.86,0.77,1.3,4.3,1.2,6.4,1.6,1.1,2.1
"OGFRP1",1.6,1.1,1.1,1.5,0.96,1.1,1.5,0.85,1.3,1,1,1,1.5,1.3,1.2,0.98,1.6,0.9,0.81,0.89,1.5,4.1,1.6,0.37,0.95,0.93,0.77,0.42,1.1,6.8,1.1,0.79,0.41
"OGG1",1.6,1,1.1,1,0.75,1.5,0.31,1.1,1,0.89,6.8e+08,0.75,0.46,0.87,0.97,1.6,1.1,1.1,1.2,1,0.83,2.3,2.6,0.59,1.6,0.84,1.1,0.39,1.4,0.1,1.5,0.76,0.28
"OGN",3.4,1.7,0.98,0.7,0.5,1.3,0.74,1.1,0.93,1.1,8,0.72,2,0.84,1,0.73,0.95,0.97,0.79,1.2,0.81,0.54,0.33,0.85,1,1,1.6,3,1.6,0.22,1.2,0.98,0.61
"OGT",1.2,0.68,1.1,0.98,0.98,1.1,2.2,1.4,0.77,0.77,3.8,1.4,2.1,1.3,1.1,1.2,0.66,1,1.1,1.1,0.74,1,2.1,0.28,1.3,0.89,0.82,0.44,0.47,6.2,2.1,1.1,1.4
"OIP5",4,1.3,1.1,0.88,1.7,1,0.73,0.89,0.96,0.93,7.9,1.4,3.2,1.5,1,1.9,1,0.81,2.5,1.1,1.7,1.9,2.3,0.55,1.2,1.1,0.85,0.43,1,0.19,1.3,1,1.5
"OIT3",0.68,0.91,1.3,0.73,1.5,0.67,0.71,0.99,0.8,1,0.51,1,1.1,1,1.1,0.84,0.83,0.88,2.1,0.98,0.74,0.26,0.78,0.94,0.64,1.2,0.9,0.42,0.37,0.87,1.1,1,1.5
"OLA1",3,1,1.1,1.1,1.2,0.86,1.4,0.84,0.9,1.2,4.2,0.55,1.5,1.1,1.3,1.6,1.6,0.86,1,0.88,1.5,2.1,0.41,0.71,1.1,0.92,0.86,0.94,1.1,1.3,0.69,1.7,0.92
"OLA1P1",2.1,1.1,1.2,1.4,1.3,0.72,1.3,1.2,0.76,1.2,8.2,0.59,1.6,0.87,1.3,1.9,1.5,0.86,2.2,1,1.4,2,0.45,0.53,1.1,1.1,1,0.74,0.82,1.2,0.74,2.1,0.72
"OLA1P3",0.68,1,1,1,1,1,1,1.2,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,2.2,1,1,1,0.88,1,1,0.27,1,1,1
"OLAH",1.8,1.3,0.94,1.2,0.95,1.4,0.66,1.3,1.1,0.91,0.85,1.2,1.6,0.67,1.1,0.87,1.3,1.3,1.2,0.84,1.2,2.3,0.78,0.96,1.5,1.1,1.3,1,0.46,1.7,2.6,0.96,0.48
"OLFM1",2.1,1.4,1,0.58,0.5,1,1,0.99,1.4,1.1,0.52,0.93,1.2,1.2,0.63,0.96,0.64,0.96,1.1,1.2,0.55,0.52,1.1,1.1,0.92,1.1,0.98,0.32,1.4,11,0.62,1.8,5.6
"OLFM2",1.4,0.99,0.9,0.84,1.6,2.3,1.2,0.88,1.2,0.86,1.9,1.5,2.4,0.84,0.96,0.93,0.89,1.3,0.77,0.98,0.68,0.21,1.3,1.6,1,1.3,1.2,1,2.1,1,0.94,0.94,3.1
"OLFM3",1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,0.8,1,1,1,1,0.93,0.81,0.93,1,1.3,1,1,1,0.47,1.7,0.46,1.4,1.2,1
"OLFM4",1,1.4,0.74,1.6,2.3,0.76,0.85,0.93,1.2,1.2,1.9,0.87,1.6,0.96,0.62,1.3,0.95,1.3,1,1,1,1.5,1,0.59,0.93,1,0.82,1.3,1.1,7.9,1.2,0.94,1
"OLFML1",1.6,1.4,1,0.73,0.65,1.3,2,1.1,1,0.82,1.6,0.98,2.4,0.95,1.8,1.1,0.87,1.2,0.6,1,0.97,0.18,0.33,0.75,0.61,1,1.3,5.9e+08,1.3,0.35,1.1,0.84,1.8
"OLFML2A",1.6,1.3,1,1,0.83,1.1,0.8,1.3,1.3,1.1,2.1,0.59,2.3,2.4,2,0.85,1,0.94,2.4,1.1,0.81,2,0.98,1.4,1.1,1.5,1.2,5.3e+08,1.4,1.7,0.98,0.75,0.51
"OLFML2B",4.2,1.4,1.2,1.2,0.42,1.5,0.7,1.2,1.2,1.1,1.2,1.3,2.1,1,1.7,1.7,1.1,1.3,1.8,0.99,0.91,1.1,0.83,0.77,1.2,1.1,1.3,6e+08,1.2,1.1,1.6,1.1,3.9
"OLFML3",0.56,1.5,0.95,1.2,0.72,1.1,1.9,1,1,1.1,1.1,0.92,0.89,0.75,1,1,0.9,1.3,1,1.1,1.1,1.1,0.72,1.4,1.1,0.83,1.5,2.8,1.8,1.1,0.97,0.65,3.2
"OLIG1",1.7,1,1.1,1.1,1.4,1.1,1,0.52,0.77,1,0.1,1.4,0.87,0.59,0.63,1,0.94,1.3,0.51,1.1,0.73,1.9,1.9,1.1,0.84,0.68,1.2,1,0.57,1.2,1.4,2.1,5.3
"OLIG2",2.3,1,1,1,1,1.3,1,0.95,0.74,1.2,0.1,1.1,1,0.8,0.6,1,1.1,1.4,1.2,1.2,1.1,1,1,0.6,1,0.65,1.6,0.84,1,1,1,1.2,1
"OLIG3",1,1,1,1,1,1,1,1,1,1,1,1,2.1,1,1,1,1,1,1,1,1.4,1,0.84,1,1,1,1,2.3,1,1,1.8,2.6,1
"OLMALINC",1.5,0.87,1.1,0.81,0.91,1.4,0.99,0.7,1,0.98,1.9,1.1,1.6,1.7,0.51,1.3,1.1,0.88,1.3,1,0.75,1.4,1.3,1.1,0.99,0.85,1,0.43,0.7,1.8,0.72,0.7,0.66
"OLR1",1.3,0.93,1.2,1.1,0.25,1.6,1.1,1.3,1.5,1.4,0.32,0.9,0.77,0.72,1.7,1.3,0.83,1.3,0.9,1.1,1.3,1.9,0.85,1.2,1.1,1,1.4,4.7e+08,1.4,4.5,1.5,1.3,1.1
"OMA1",1.2,0.95,0.94,0.65,0.78,0.73,1.1,0.84,1,0.9,1.8,0.98,0.67,0.93,1,1.2,1.2,0.93,0.72,1.2,1.4,0.58,3,0.29,1.1,0.71,0.77,0.33,0.51,1.8,0.74,1.1,2
"OMD",2.4,1.4,0.95,0.92,0.49,1.3,0.61,0.98,0.95,0.86,1.9,0.87,2.1,0.82,0.79,0.83,0.95,1,1.2,1.2,1.1,0.59,0.89,1.3,1.2,1,1.5,3.1,1.6,0.28,1.1,0.77,1
"OMG",1.2,1.1,0.84,0.7,0.61,2,1.9,0.95,1.1,0.95,3.8,1,0.87,0.84,1,0.78,0.74,1.1,0.72,1,0.82,0.59,2,1.2,0.71,0.85,1.2,6e+08,0.62,1.3,0.98,1.3,2.6
"OMP",0.96,1.1,1,1,2.2,1,1,0.91,1,1,2.2,0.78,0.76,0.9,1.7,1.1,0.94,1,1,1.2,1.4,4.4,0.95,0.46,1,1,0.67,2.8,1,1,1,1,1
"ONECUT1",1,1,1,0.71,0.56,1,1.7,0.81,1.4,0.84,1,1.4,1,1,1.9,1.2,1.1,0.75,1,1,1,2.1,1,1,1,1.1,1.3,0.49,1,1,0.78,0.67,6
"ONECUT2",2.7,0.95,1.3,0.83,1.5,1.3,1,1,0.96,0.8,4.8,1,2.1,1.3,0.89,1.2,1.1,0.91,1.3,1,1.2,4,2.6,1.1,1.9,1.3,1.4,0.3,1.3,0.81,1.4,1.5,1.8
"ONECUT3",1,1,1,1.1,1.3,1,1,1.2,1,0.78,1,1,1,1.1,1,1,1,0.64,1,1,1.2,1,1,1,1,1,0.87,4.2e+08,1,1,1,1,1
"OOEP",1,1.3,0.88,1.3,1.2,0.77,2.8,1.1,1,0.75,1,1.1,1,0.94,1,1,1.2,1.2,1.4,0.99,0.93,1,0.51,1.8,0.94,1.1,1.1,0.34,0.74,0.6,0.63,1,1
"OPA1",1.7,1.2,1.4,0.99,0.37,0.86,2.2,0.94,0.92,0.88,2.2,0.59,1.5,1.2,1.2,0.94,1.4,0.98,1.8,1,1.9,5,1.9,0.81,0.93,1,1.1,3,2.4,1.5,0.95,1.1,1.1
"OPA3",1.4,1,1.2,0.9,1.1,0.74,1.1,0.93,1.1,0.99,1.2,1,0.55,1.2,1.9,1.5,1.3,1.1,1.5,1.3,0.61,0.59,1.5,0.98,0.98,1.5,1,0.32,0.95,1.6,1.2,1.7,4.1
"OPALIN",1,1,1,1,1,1,1,1,0.76,1,1.9,1,1,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47,1,1,1
"OPCML",0.85,1.3,0.87,0.79,0.81,1.1,0.89,0.76,0.8,1.2,0.81,0.56,1.1,1,0.55,0.9,0.7,1.6,1.9,1.3,1.2,0.68,0.7,0.98,1.1,0.97,1.1,0.33,1.4,1.5,0.4,1.2,1.5
"OPHN1",0.66,1.3,1.2,0.89,1.3,0.87,0.99,1,0.7,1.1,1.3,1,1.5,1.3,0.58,1.1,0.75,0.97,1.3,0.96,1,3.9,1.3,0.56,1.2,0.89,1,0.47,4.2,6.7,1.1,1.1,1
"OPLAH",1.2,1.4,1.3,1.4,1.3,1.1,1.9,1.2,1.3,0.85,0.13,0.87,0.54,1.3,1.9,0.91,1.2,1.1,0.98,0.99,1.1,0.62,1.5,0.98,1.3,0.85,0.8,0.75,1.5,4.9,0.91,0.98,4.1
"OPN1LW",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1
"OPN1SW",0.99,1.1,1.1,1.2,1.4,0.97,0.59,0.92,1.4,0.98,0.64,1.4,0.84,1.3,1.8,1.3,1.1,1,1.9,1.1,0.93,5.6e+08,1.3,0.98,0.86,1,1.3,0.44,0.97,0.23,1.4,0.82,3.6
"OPN3",2,1.4,1.1,1.5,1.3,0.64,2,0.65,2,1.2,1.8,0.87,1.1,0.98,1,1.6,1.6,1.2,1.3,0.98,1.4,1.3,0.92,0.98,1.8,0.91,1.5,6.1e+08,1.6,0.45,0.8,1.1,2.6
"OPN4",0.6,1.2,1.4,1,1,0.64,1,1.1,1.4,0.82,2.1,1.3,1,1,0.89,1,1.1,0.91,1.9,1.2,1.6,0.87,1,0.67,0.75,1.6,1.4,1,1.5,0.32,1.2,1.5,1.8
"OPN5",1,1,1,1,1,1,1,1,1,1,0.57,1,1.1,1,0.97,1,1,1,1,1,1,1.8,1,1,1,1,1,1,0.83,1,2,1,1
"OPRD1",1.6,0.72,1.2,1.1,0.81,0.9,0.66,1.2,1,0.8,1.2,1,1.6,0.95,1.3,1.8,0.83,1.3,0.79,0.86,0.61,0.63,1.1,1.7,1.3,1,1.5,1.8,1.9,1.6,2.3,0.88,4
"OPRK1",1,1.1,1.1,1,1,1,1,0.88,1.1,1,0.6,1,1,1,0.74,1,0.85,0.92,1,1.2,0.87,0.22,0.13,1,1.1,1,1,0.44,1,0.9,1,0.96,1.5
"OPRL1",1.2,1.5,0.87,1.2,0.61,1.3,0.63,0.9,1.3,0.98,1.3,1,0.93,1.9,0.92,1.7,0.94,1.1,0.92,1,0.71,0.65,0.67,1.9,1,0.95,1.3,4.4,1.6,0.85,1.3,1.6,0.87
"OPRM1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1.2,0.65,1,1,1,1,1,1,1,1,1,1,1
"OPTC",1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,0.59,1,1,1,1,0.81,1,7.5e+08,1,1,1,1,1,1,1,0.45,1,1,1
"OPTN",1.4,0.99,0.96,1.1,0.39,1.4,0.76,1,1.1,1.1,1.1,1,1.2,2.7,0.75,1.2,1.1,1.3,0.94,0.92,1.4,0.62,1.4,1.5,0.64,0.74,1.2,0.55,0.86,3.9,1.7,1.1,1.1
"OR10A2",1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1,1,1,1,1,1
"OR10A3",1,0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR10A4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1
"OR10A5",1,1,1,1,1,1,1,0.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR10AB1P",1,0.67,1,1,1,1,1,1,1,1,2.5,0.97,1,1,0.77,1,1,1,1,1,1,1.1,0.85,1,1,1,1,1,1.8,1,1,0.84,1
"OR10AC1",1,1,1,1,1,1,1,0.77,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1,1,1.4,1,1,1
"OR10AD1",0.81,1,1.2,1.1,0.89,1,0.29,1.1,1,1,0.3,1.4,0.63,1.7,1,1,0.85,1,0.95,1,0.59,7.4,1,0.85,1,0.98,1,1.9,0.78,1,1,1,1
"OR10D1P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1
"OR10G2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.9,1,1,1,1,1,1,0.43,1,1,1
"OR10H1",1,0.85,1,1.2,1,1,1,0.88,1,0.83,1,1,1,1,1,1,1,1,1,1,1.2,1,0.83,1,1,1,1,1,1,1,1,1,1
"OR10J6P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1
"OR10Q1",1,1,1,1,0.84,1,1,1,1,1,1,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR10R2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22,1,1,1
"OR10R3P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,1
"OR10T1P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,1
"OR10T2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,1
"OR10V2P",1,1,1,1,1,1.4,1,1.1,1,1,1.6,0.81,0.97,1.2,1,1,1,1,1,1,0.85,1,1,0.65,1,1,0.94,1,1,1,1,1,1
"OR10V3P",1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR10Y1P",1,1,1,1,1,1,1,1,1,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR11H13P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.62,1
"OR11H7",2.5,1.2,0.85,0.71,0.68,1,1,0.92,1.3,1.2,0.39,1.3,1.1,1.6,1.5,1,0.88,0.91,1.2,1.1,0.78,0.68,0.51,1.5,0.99,1,1.1,0.37,1.2,2.9,1.6,0.79,1
"OR11K1P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.59,1,1,1,1,1,1,1,1,1,1
"OR11L1",1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR11M1P",1,1,1,1,1,1,1,0.88,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR11N1P",1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13A1",1.7,0.81,0.98,1.5,1,1.1,1,1,1.1,1,1,1,1.5,1,0.52,1,0.72,1.1,0.78,0.88,0.72,7e+08,4.8,0.74,0.72,0.77,1.1,0.58,1.6,1,1.7,1,1
"OR13C1P",1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13C2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1,1,1,1
"OR13C3",1,1,1,1,1,1,1,1,1,1,1,1,1,0.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13C4",1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13C9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13D1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13D2P",1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13D3P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13F1",1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13G1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13H1",1,1,1,1,1,1,1,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13I1P",1,1,1,1,1,1,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13J1",1.5,1,0.97,1,1,1,1,0.91,1.1,1,1.2,1.3,1,1,0.96,1,1,1,1.1,1,1.3,0.64,0.61,1,0.8,1,1,1,1.1,5.2e+08,1.2,1.2,1
"OR13K1P",1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR13Z2P",1,1,1,1,1,0.98,1,0.94,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,1,0.45,1,1,1,1,1,1,1,1,1
"OR14I1",1,1,1,1,1,1,1,1,1,1,1,0.65,1,1,0.89,1,1,1,0.96,1,1,1,0.58,1,1,1,1,1,1,1,1,1,1
"OR14K1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.87,1,1,1,1,1,0.85,1,1,1.1,1,1,1,1,1,1,1,1,1,1
"OR14L1P",1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1
"OR1B1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1C1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,0.55,1,1,1,1,1
"OR1E1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,0.45,1,1,1,1,1
"OR1F1",1,1,1,0.97,1,1,1,0.97,0.87,1.2,1,1,1,1,0.84,1,1,1.1,1,1,1,1,1,1,1,1,1,2.9,1,1,0.7,1,1
"OR1F12",1,1,1,1,0.72,1,1,1,1,1,1,1,1,0.85,0.91,1,1,1,1,0.96,1,1,0.32,1,1,1,1,1,1.2,2.4,1.1,1,1
"OR1G1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.16,1,1,1
"OR1H1P",1,0.92,1,1,1,1,1,1.7,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,1,1,1,1,1,1,1,1.5,1,1,1
"OR1J1",1,0.89,1,1,1,1,1,1.4,1,1,1,1,1,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1J4",1,1,1,1,1,1,1,1.2,1,0.95,1,1,1,1,1,1,1,1.2,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1K1",1,1,1,1,1,1,1,0.98,1,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,1
"OR1L4",1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1L6",1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1L8",1,1,1,1,1,1,1,1.3,0.98,1,1.8,0.62,1,0.86,0.87,1,0.68,0.99,1.2,0.93,0.66,1,1.8,1,0.98,1,1.1,2.5,3.4,1,1,1,1
"OR1M1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1N1",1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1Q1",1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1.2,1,1,1,1,1,1
"OR1X1P",1,1,1,1,1,1,1,1,1,1,1,1,1,0.76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR1X5P",1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR2A1",1,0.86,1.2,1.2,0.97,1.4,0.82,1,1,0.91,2.1,1.1,0.99,1.2,1.4,0.89,0.75,0.98,1.5,0.98,0.75,1.2,5.5,0.91,0.72,0.81,1,3,1.5,0.8,1.3,1.1,0.57
"OR2A13P",1,1.1,0.87,1.4,0.47,1.1,1,0.71,1,0.98,0.73,0.76,0.63,1,1,1,0.99,0.96,0.83,1,0.74,0.93,1.4,1.3,1,1,0.88,1,2.8,1,1.1,1,1
"OR2A20P",0.71,0.92,1.2,0.95,0.63,0.95,1.3,0.79,1.1,0.8,2.1,1.1,0.68,1,1.4,1,0.92,1,1.4,0.97,0.59,1.7,1.5,0.63,0.8,0.94,1.1,2.9,0.97,0.75,2.5,0.8,0.52
"OR2A4",1.6,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR2A42",1,0.93,1.1,0.81,0.65,1.5,1.1,1.1,1,0.76,1,0.88,0.87,1.2,1.1,1,0.78,0.97,0.85,0.95,0.95,0.52,0.43,0.88,1,1,0.89,1,0.89,0.87,1,0.53,0.82
"OR2A7",1,1.1,0.86,1.2,0.39,0.74,2.8,0.59,1.3,0.84,2.3,0.78,0.9,1.5,1.2,1,0.9,1.1,0.58,0.96,1.1,1.2,1.6,1.1,0.64,0.87,0.81,1,0.85,0.98,0.97,0.68,0.43
"OR2A9P",0.48,0.82,0.73,0.83,0.65,1.2,1.7,0.75,1.2,0.81,1.1,0.99,0.98,2,1.6,1.1,0.94,0.94,1.1,0.98,0.85,0.76,0.57,1.5,0.65,0.87,1,2.9,1.1,0.54,0.96,0.62,0.43
"OR2AE1",1,1,0.89,1,1,1,1,0.98,1.2,1,1,1.1,1,1.5,1.6,1,1,1,1,1,1,0.44,1,1,1,0.77,1.1,1,1,1,1,1,1
"OR2AG2",1,1,1,1,1,0.65,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47,1,1,1.4,1.7,1,1,1,1,1
"OR2AJ1",1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OR2AK2",1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
