"Gene","ACC_survival_p","BLCA_survival_p","BRCA_survival_p","CESC_survival_p","CHOL_survival_p","COAD_survival_p","DLBC_survival_p","ESCA_survival_p","GBM_survival_p","HNSC_survival_p","KICH_survival_p","KIRC_survival_p","KIRP_survival_p","LAML_survival_p","LGG_survival_p","LIHC_survival_p","LUAD_survival_p","LUSC_survival_p","MESO_survival_p","OV_survival_p","PAAD_survival_p","PCPG_survival_p","PRAD_survival_p","READ_survival_p","SARC_survival_p","SKCM_survival_p","STAD_survival_p","TGCT_survival_p","THCA_survival_p","THYM_survival_p","UCEC_survival_p","UCS_survival_p","UVM_survival_p"
"HIST1H2AL",0.98,0.34,0.34,0.44,1,0.2,0.62,0.26,0.13,0.26,1,1,1,0.16,1,0.0046,0.052,0.28,0.063,0.86,1,1,0.96,0.16,0.37,0.0065,0.95,0.48,1,0.019,0.85,0.11,1
"HIST1H2AM",0.17,0.48,0.44,0.35,0.92,0.96,0.38,0.58,0.33,0.049,0.72,0.018,0.18,0.54,0.0068,0.62,0.34,0.64,0.97,0.051,0.31,0.51,0.42,0.27,0.16,0.35,0.68,0.37,0.46,0.21,0.37,0.68,0.79
"HIST1H2APS2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HIST1H2APS4",1,1,1,0.18,1,1,0.89,0.27,1,0.32,0.078,1,1,1,1,1,1,0.64,0.29,0.058,1,1,1,0.52,1,1,0.68,0.84,1,0.094,1,1,1
"HIST1H2BA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,1,1,1
"HIST1H2BB",1,1,1,1,1,1,1,0.028,1,1,1,1,1,0.98,1,1,1,1,1,0.14,1,1,1,1,1,1,1,0.9,1,0.055,1,1,1
"HIST1H2BC",1,0.31,0.14,0.56,0.15,0.92,0.15,0.78,0.39,1,0.35,0.87,0.026,0.36,1,0.52,0.021,0.78,0.08,0.81,0.0069,0.67,0.92,0.16,0.47,0.68,0.95,0.83,0.9,0.71,0.51,0.012,0.26
"HIST1H2BD",0.54,0.55,0.45,0.063,0.0082,0.48,0.9,1,0.71,0.92,0.25,0.19,0.19,0.56,1,0.52,0.12,0.44,0.00035,0.52,0.025,0.75,0.43,0.088,0.81,0.24,0.41,0.45,0.14,0.29,0.41,0.18,1
"HIST1H2BE",0.017,0.81,0.49,0.98,0.3,0.93,0.12,0.19,0.54,0.35,0.31,0.047,0.18,0.94,0.0019,0.36,0.97,0.87,0.095,0.6,0.23,0.67,0.28,0.82,0.63,0.86,0.69,0.95,0.58,0.067,0.18,0.23,0.77
"HIST1H2BF",1,0.95,0.78,0.49,0.88,0.074,0.28,0.99,0.55,0.72,0.14,0.002,1,0.52,0.94,0.42,0.12,0.23,0.99,0.71,0.87,0.67,0.71,0.82,0.23,0.46,0.069,0.62,0.3,0.056,0.0093,0.29,1
"HIST1H2BG",0.053,0.73,0.27,0.23,0.44,0.023,0.42,0.26,0.51,0.28,0.78,0.012,0.22,0.6,0.0026,0.41,0.19,0.82,0.066,0.93,0.44,0.22,0.47,0.68,0.85,0.91,0.4,0.6,0.35,0.06,0.72,0.45,0.34
"HIST1H2BH",1,0.29,0.58,0.49,0.73,0.12,0.98,0.4,0.3,0.021,0.12,0.0098,0.17,0.21,1,0.047,0.28,0.042,0.45,0.1,0.48,0.64,0.84,0.87,0.25,0.67,0.36,0.31,0.99,0.018,0.98,0.38,0.17
"HIST1H2BI",1,0.015,1,0.89,1,1,0.27,0.052,0.77,0.028,1,1,1,0.79,1,1,1,0.87,1,0.19,1,1,1,0.48,1,1,0.34,0.46,1,0.048,0.82,0.26,1
"HIST1H2BJ",0.00025,0.93,0.74,0.042,0.17,0.042,0.88,0.97,0.36,0.24,0.069,0.58,0.24,0.16,1,0.66,0.059,0.32,0.69,0.15,0.078,0.68,0.37,0.054,0.88,0.4,0.64,0.73,0.092,0.0075,0.34,0.13,0.64
"HIST1H2BK",1,0.31,0.61,0.074,0.29,0.6,0.95,0.6,0.83,0.24,0.81,0.86,0.0031,0.18,1,0.79,0.016,0.26,0.027,0.42,0.084,0.58,0.53,0.0096,0.42,0.0092,0.71,0.48,0.77,0.34,0.8,0.011,0.69
"HIST1H2BL",0.00074,0.35,0.87,0.35,0.1,0.64,0.31,0.85,0.86,0.15,0.62,0.67,0.01,0.78,0.0021,0.13,0.56,0.4,0.82,0.049,0.26,0.18,0.66,0.35,0.12,0.4,0.17,0.49,0.71,0.009,0.48,0.76,0.13
"HIST1H2BM",1,0.7,1,0.59,1,1,0.43,0.014,1,0.58,1,1,1,0.98,1,1,1,0.6,1,0.53,1,1,1,1,1,1,0.4,0.87,1,0.75,1,1,1
"HIST1H2BN",1,0.35,0.96,0.86,0.12,0.27,0.1,0.54,0.18,0.22,0.29,0.11,0.018,0.31,0.0012,0.13,0.18,0.97,0.16,0.1,0.032,0.64,0.38,0.65,0.69,0.94,0.74,0.76,0.79,0.015,0.42,0.75,0.84
"HIST1H2BO",0.06,0.26,0.36,0.077,0.14,0.71,0.066,0.94,0.091,0.16,0.23,0.14,1,0.71,1,0.027,0.29,0.049,0.63,0.23,0.056,0.32,0.1,0.35,0.53,0.033,0.22,0.53,0.21,0.059,0.051,0.56,0.0074
"HIST1H2BPS2",1,1,1,0.29,1,1,1,1,1,1,1,1,1,0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,0.62,1,1,1,1,1
"HIST1H2BPS3",1,1,1,1,1,1,1,1,1,1,1,1,1,0.36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HIST1H3A",1,0.65,0.96,0.51,1,0.12,0.033,0.15,0.38,0.22,0.58,1,0.027,0.028,0.22,0.81,0.63,0.93,0.25,0.54,1,0.7,0.87,0.7,0.96,0.37,0.4,0.95,0.2,0.18,0.46,0.3,0.43
"HIST1H3B",1,0.094,0.66,0.063,0.77,0.44,0.099,0.78,0.16,0.1,1,1,1,0.69,1,0.38,0.94,0.071,0.39,0.89,0.21,1,0.078,0.63,0.22,0.096,0.58,0.47,1,0.028,0.24,0.17,1
"HIST1H3C",0.00032,0.9,0.57,0.92,0.26,0.28,0.29,0.29,0.23,0.37,0.18,1,1,0.15,1,0.083,0.54,0.11,0.38,0.75,0.22,1,0.51,0.39,0.16,0.53,0.0098,0.49,1,0.016,0.29,0.53,1
"HIST1H3D",1,0.55,0.58,0.22,0.33,0.23,0.17,0.71,0.76,0.21,0.41,0.00032,0.052,0.19,0.00047,0.3,0.02,0.9,0.25,0.56,0.39,0.65,0.55,0.027,0.58,0.66,0.24,0.77,0.36,0.0023,0.96,0.94,0.76
"HIST1H3E",0.014,0.61,0.57,0.82,0.047,0.063,0.49,0.4,0.61,0.49,0.63,0.56,0.056,0.026,1,0.21,0.081,0.91,0.015,0.94,0.94,0.72,0.23,0.17,0.83,0.82,0.73,0.76,0.22,0.13,0.046,0.52,0.14
"HIST1H3F",1,0.21,0.85,0.044,1,0.35,0.47,0.19,0.22,0.0078,1,1,1,0.092,1,1,1,0.075,1,0.057,1,1,1,0.97,1,0.46,0.076,0.48,1,0.042,0.43,0.53,1
"HIST1H3G",0.0076,0.86,0.51,0.0046,0.65,0.88,0.32,0.33,0.84,0.077,0.26,0.59,0.19,0.58,1,0.58,1,0.062,0.046,0.18,0.85,0.86,0.19,0.56,0.35,0.16,0.1,0.3,0.69,0.088,0.95,0.4,0.39
"HIST1H3H",0.00031,0.99,0.95,0.023,0.14,0.079,0.98,0.81,0.081,0.28,0.69,0.73,1,0.56,1,0.65,0.4,0.53,0.54,0.64,0.0051,0.71,0.33,0.87,0.54,0.11,0.55,0.6,0.96,0.039,0.56,0.38,0.086
"HIST1H3I",1,0.21,1,1,1,0.33,0.6,0.94,1,0.4,1,1,1,0.97,1,1,1,1,1,0.88,1,1,1,0.59,1,1,0.27,0.97,1,0.07,0.98,0.27,1
"HIST1H3J",1,0.61,0.97,0.33,0.72,0.069,0.062,0.029,0.16,0.042,1,1,1,0.027,1,1,0.13,0.37,0.73,0.074,1,1,0.51,0.87,0.26,0.41,0.8,0.41,1,0.014,0.27,0.0021,1
"HIST1H3PS1",0.082,0.52,0.56,0.071,0.53,0.51,0.32,0.91,1,0.47,0.24,0.67,0.8,1,0.29,0.48,0.78,0.86,0.25,0.14,0.071,0.52,0.82,0.94,0.23,0.91,0.95,0.34,0.85,0.0021,0.78,0.05,0.99
"HIST1H4A",1,1,1,1,1,1,0.035,0.73,0.96,1,1,1,1,0.19,1,1,1,1,1,0.16,1,0.74,1,1,1,1,0.94,0.98,1,0.086,0.18,1,1
"HIST1H4B",0.49,0.91,0.91,0.26,0.69,0.46,0.069,0.4,0.074,0.38,0.66,0.3,1,0.15,1,0.34,0.29,0.5,1,0.3,0.49,0.85,0.1,0.68,0.04,1,0.66,0.89,0.89,0.074,0.32,0.97,1
"HIST1H4C",0.13,0.018,0.68,0.093,0.65,0.98,0.27,0.027,0.47,0.23,1,0.19,0.28,0.98,0.13,0.1,0.39,0.2,0.35,0.9,0.55,0.96,0.66,0.26,0.52,0.063,0.51,0.62,0.88,0.0057,0.95,0.76,0.38
"HIST1H4D",0.077,0.97,0.92,0.27,0.65,0.94,0.36,0.48,0.17,0.38,1,1,1,0.42,1,0.74,1,0.58,0.51,0.2,0.83,0.1,0.39,0.16,1,0.47,0.23,0.47,0.39,0.0088,0.28,0.27,0.85
"HIST1H4E",0.0048,0.68,0.87,0.49,0.29,0.067,0.36,0.64,0.82,0.24,0.68,0.021,0.15,0.29,0.23,0.56,0.12,0.61,0.51,0.83,0.14,0.82,0.2,0.89,0.019,0.94,0.12,0.47,0.073,0.26,0.96,0.96,0.6
"HIST1H4F",1,1,1,1,1,1,0.16,0.93,1,1,1,1,1,1,1,1,1,1,1,0.18,1,1,1,1,1,1,1,1,1,0.38,1,1,1
"HIST1H4H",0.00014,0.71,0.99,0.62,0.97,0.011,0.1,0.57,0.65,0.034,0.21,0.79,0.94,0.95,1,0.029,0.081,0.4,0.004,0.26,0.043,0.64,0.58,0.55,0.64,0.0063,0.73,0.52,0.87,0.81,0.28,0.23,0.84
"HIST1H4I",0.004,0.64,0.65,0.032,0.38,0.7,0.52,0.4,0.33,0.95,0.96,0.14,0.91,0.82,1,0.72,0.45,0.28,0.3,0.78,0.97,0.6,0.16,0.65,0.41,0.85,0.41,0.47,0.31,0.023,0.4,0.63,0.5
"HIST1H4J",0.0041,0.053,0.2,0.46,0.48,0.98,0.87,0.31,0.89,0.014,0.09,0.19,0.81,0.71,0.022,0.99,0.64,0.11,0.026,0.7,0.67,0.075,0.85,0.19,0.36,0.29,0.9,0.49,0.26,0.54,0.048,0.25,0.54
"HIST1H4L",1,1,1,1,1,1,0.1,0.44,1,1,1,1,1,0.68,1,1,1,1,1,0.64,1,1,1,1,1,1,0.29,1,1,0.12,1,1,1
"HIST1H4PS1",1,1,1,1,1,1,1,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.39,1,1,1,1,1,1,1,1,1,1
"HIST2H2AA3",0.012,0.54,0.4,0.9,0.48,0.17,0.5,0.57,0.79,0.85,0.86,0.0049,0.032,1,0.072,0.2,0.2,0.25,0.08,1,0.99,0.44,0.092,0.038,0.93,0.77,0.24,0.02,0.61,0.9,0.53,0.3,0.86
"HIST2H2AA4",0.00038,0.08,0.9,0.086,0.82,0.33,0.93,0.72,0.85,0.21,0.74,0.0074,0.022,0.28,0.0031,0.58,0.056,0.89,0.04,0.69,0.97,0.69,0.2,0.35,0.97,0.72,0.56,0.34,0.94,0.76,0.48,0.52,0.061
"HIST2H2AB",1,0.13,0.54,0.58,0.74,1,0.22,0.25,0.45,0.012,1,1,1,0.4,1,1,1,0.82,1,0.32,1,1,0.18,0.42,1,1,0.43,0.6,1,0.16,0.4,0.53,1
"HIST2H2AC",0.00036,0.25,0.21,0.45,0.99,0.43,0.015,0.18,0.33,0.79,0.83,0.0033,0.47,0.019,0.00013,0.19,0.38,0.54,0.18,0.088,0.053,0.21,0.89,0.06,0.38,0.55,0.35,0.42,0.11,0.026,0.43,0.58,0.88
"HIST2H2BA",1,1,0.055,1,0.96,1,1,0.48,0.4,1,0.85,0.19,0.46,0.24,0.0032,1,0.62,0.66,0.46,0.052,0.25,0.79,0.95,1,0.39,0.4,0.9,0.19,0.52,0.61,1,1,0.98
"HIST2H2BB",0.34,0.39,0.12,0.32,0.66,0.86,0.41,0.64,0.7,0.69,0.41,0.65,0.33,0.21,0.0084,1,0.017,0.38,0.8,0.82,0.53,0.022,0.51,0.76,0.43,0.25,0.41,0.3,0.1,0.46,1,0.3,0.045
"HIST2H2BC",1,0.2,0.091,0.72,0.76,0.25,0.12,0.63,0.89,0.45,1,0.18,0.049,0.13,0.37,0.79,0.0038,0.97,0.63,0.096,0.71,0.059,0.16,0.59,0.34,0.029,0.41,0.43,0.11,0.9,0.28,0.39,0.51
"HIST2H2BD",1,0.35,0.55,0.85,0.73,0.11,0.22,0.23,0.85,0.42,0.23,0.12,0.0036,0.0025,0.59,0.011,0.56,0.37,0.18,0.33,0.57,0.45,0.93,0.39,0.52,0.96,0.46,0.089,0.17,0.12,0.78,0.77,0.027
"HIST2H2BE",0.0075,0.59,0.98,0.74,0.3,0.3,0.94,0.83,0.45,0.35,0.073,0.74,0.62,0.025,1,0.64,0.56,0.87,0.39,0.56,0.35,0.64,0.94,0.12,0.95,0.22,0.079,0.18,0.53,0.15,0.072,0.3,0.65
"HIST2H2BF",0.061,0.72,0.61,0.45,0.89,0.0037,0.35,0.43,0.78,0.98,0.37,0.04,0.055,0.13,1,0.15,0.12,0.55,0.036,0.0024,0.13,0.55,0.52,0.03,0.29,0.96,0.2,0.44,0.038,0.91,0.81,0.12,0.0018
"HIST2H3A",1,0.7,0.46,0.85,0.42,0.49,0.3,0.99,0.42,0.49,0.22,0.98,0.0027,0.85,0.75,0.0081,0.0065,0.16,0.48,0.44,0.53,0.68,0.6,0.029,0.63,0.92,0.6,0.081,0.34,0.38,0.32,0.55,0.0085
"HIST2H3C",1,0.7,0.46,0.85,0.42,0.49,0.3,0.99,0.42,0.49,0.22,0.98,0.0027,0.85,0.75,0.0081,0.0065,0.16,0.48,0.44,0.53,0.68,0.6,0.029,0.63,0.92,0.6,0.081,0.34,0.38,0.32,0.55,0.0085
"HIST2H3D",0.0082,0.025,0.78,0.99,0.64,0.21,0.043,0.31,0.9,0.89,0.31,0.006,0.56,0.027,0.00075,0.027,0.47,0.18,0.43,0.68,0.64,0.81,0.35,0.12,0.28,0.22,0.91,0.8,0.21,0.55,0.8,0.49,0.86
"HIST2H3DP1",1,1,1,1,1,1,1,0.42,0.2,1,0.92,0.96,0.68,1,0.0027,1,0.8,1,0.074,0.052,0.78,0.62,1,1,0.63,1,0.12,0.79,0.043,1,1,1,0.51
"HIST2H3PS2",0.23,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.011,0.18,1,0.41,1,1,1,1,1,0.42,1,1,1,1,0.0084
"HIST2H4A",0.061,0.15,0.14,0.24,0.34,0.039,0.36,0.81,0.22,0.089,0.69,0.14,0.33,0.53,1,0.2,0.12,0.86,0.05,0.91,0.23,0.88,0.58,0.13,0.89,0.19,0.51,0.021,0.96,0.54,0.39,0.71,0.2
"HIST2H4B",0.042,0.48,0.6,0.62,0.12,0.19,0.48,0.28,0.44,0.46,0.57,0.12,0.95,0.85,0.025,0.24,0.51,0.19,0.011,0.54,0.3,0.15,0.81,0.015,0.96,0.43,0.91,0.31,0.86,0.084,0.48,0.16,0.65
"HIST3H2A",0.12,0.66,0.73,0.79,0.51,0.13,0.85,0.45,0.00073,0.0042,0.38,0.55,0.099,0.22,0.022,0.077,0.97,0.47,0.12,0.42,0.48,0.027,0.42,0.3,0.95,0.04,0.37,0.5,0.97,0.17,0.36,0.04,0.28
"HIST3H2BA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.77,1,1,1,1,1,1,1,0.7,1,0.12,1,1,1
"HIST3H2BB",0.64,0.73,0.28,0.32,0.4,0.056,0.92,0.68,0.03,0.063,0.71,0.28,0.036,0.007,0.0018,0.018,0.41,0.61,0.22,0.98,0.14,0.53,0.3,0.058,0.84,0.073,0.51,0.98,0.62,0.43,0.5,0.56,0.023
"HIST3H3",1,1,1,1,1,1,1,0.17,1,1,1,1,1,0.3,1,1,1,1,1,0.89,1,1,1,1,1,1,0.5,1,1,1,1,1,1
"HIST4H4",0.81,0.059,0.84,0.87,0.82,0.064,0.47,0.76,0.46,0.038,0.38,0.43,0.62,0.41,0.00012,0.99,0.56,0.45,0.77,0.63,0.59,0.39,0.62,0.087,0.39,0.59,0.21,0.2,0.4,0.73,0.25,0.76,0.91
"HIVEP1",0.0086,0.99,0.37,0.98,0.58,0.74,0.77,0.65,0.8,0.039,0.62,0.1,0.088,0.045,0.31,0.83,0.28,0.91,0.55,0.42,0.55,0.89,0.9,0.17,0.21,0.99,0.36,0.47,0.23,0.68,0.16,0.23,0.28
"HIVEP2",0.53,0.28,0.14,0.1,0.25,1,0.27,0.9,0.8,0.61,0.23,0.0025,0.84,0.32,0.77,0.23,0.31,0.51,0.0075,0.17,0.36,0.49,0.26,0.92,0.31,0.54,0.23,0.076,0.57,0.29,0.19,0.61,0.42
"HIVEP3",0.14,0.56,0.18,0.33,0.66,0.88,0.83,0.25,0.2,0.71,0.66,0.32,0.029,1,0.0052,0.29,0.49,0.2,0.14,0.65,0.57,0.096,0.52,0.15,0.0055,0.00015,0.68,0.037,0.87,0.69,0.34,0.94,0.2
"HJURP",1,0.33,0.19,0.52,0.28,0.89,0.44,0.93,0.68,0.98,0.02,1,0.002,0.65,1,0.00097,1,0.51,1,0.97,0.0044,0.63,0.15,0.82,0.047,0.00028,0.58,0.33,0.99,0.038,0.33,0.49,0.22
"HK1",0.098,0.19,0.68,0.58,0.59,0.3,0.89,0.68,0.35,0.044,0.1,0.19,0.27,0.08,0.74,0.55,0.51,0.61,0.00024,0.33,0.18,0.47,0.78,0.4,0.49,0.61,0.23,0.049,0.22,0.8,0.55,0.44,0.0071
"HK2",0.018,0.1,0.97,0.00046,0.72,0.77,0.96,0.23,0.39,0.8,0.056,0.45,0.039,0.062,1,0.026,0.016,0.4,1,0.24,0.053,0.45,0.78,0.38,0.024,0.22,0.7,0.34,0.97,0.042,0.17,0.95,0.71
"HK2P1",1,0.12,0.4,0.0031,1,0.21,1,0.82,0.86,0.87,1,0.024,0.23,0.98,1,1,0.04,0.68,0.66,0.68,0.03,1,0.24,0.028,1,0.15,0.52,0.99,0.54,1,0.15,0.047,1
"HK3",0.46,0.54,0.95,0.45,0.15,0.31,0.063,0.058,0.017,0.68,0.21,1,0.59,0.34,0.047,0.88,0.45,0.98,0.46,0.76,0.75,0.85,0.62,0.2,0.31,1,0.68,0.074,0.61,0.21,0.68,0.44,0.0045
"HKDC1",0.038,0.61,0.65,0.88,0.33,0.42,0.68,0.71,0.18,0.47,0.43,0.32,0.33,0.29,0.0063,0.057,0.26,0.025,0.25,0.31,0.041,0.65,0.77,0.15,0.7,0.93,0.85,0.47,0.026,0.0025,0.71,0.91,0.19
"HKR1",0.06,0.24,0.66,0.63,0.69,0.58,0.25,0.72,0.94,0.37,0.53,0.18,0.57,0.72,0.00021,0.76,0.053,0.54,0.58,0.085,0.02,0.55,0.013,0.38,0.35,0.0085,0.36,0.61,0.77,0.47,0.18,0.28,0.12
"HLCS",0.02,0.81,0.017,0.56,0.41,0.6,0.35,0.93,0.66,0.52,0.22,0.003,0.76,0.0074,0.00047,0.69,0.69,0.98,0.6,0.93,0.66,0.022,0.37,0.069,0.62,0.98,0.89,0.58,0.01,0.028,0.5,0.45,0.0028
"HLF",0.78,0.34,0.34,0.047,0.76,0.27,0.99,0.88,0.85,0.0079,0.63,1,0.23,0.56,0.024,0.01,0.034,0.57,1,0.56,0.015,0.89,0.39,0.067,0.22,0.092,0.53,0.6,0.25,0.5,0.33,0.97,0.064
"HLTF",0.12,0.76,0.24,0.89,0.3,0.86,0.91,0.18,0.66,0.62,0.021,0.0089,0.85,0.44,0.78,0.0075,0.096,0.48,0.51,0.17,0.61,0.094,0.096,0.85,0.0011,0.12,0.28,0.96,0.31,0.17,0.26,0.97,0.55
"HLX",0.072,0.077,0.46,0.21,0.8,0.16,0.5,0.16,0.05,0.35,0.73,0.99,0.044,0.002,0.00025,0.55,0.59,0.049,0.11,0.6,0.51,0.1,0.31,0.33,0.53,0.41,0.044,0.049,0.21,0.094,0.99,0.83,0.12
"HM13",0.013,0.51,0.35,0.29,0.45,0.82,0.053,0.61,0.72,0.031,0.29,0.0026,0.013,0.076,1,1,0.26,0.11,0.22,0.14,0.75,0.78,0.53,0.29,0.31,0.63,0.81,0.33,0.34,0.83,0.31,0.59,0.00053
"HMBOX1",0.26,0.82,0.087,0.51,0.68,0.46,0.91,0.69,0.83,0.015,0.13,0.14,0.9,0.075,0.003,0.13,0.28,0.33,0.48,0.9,0.0022,0.9,0.41,0.079,0.46,0.18,0.88,0.46,0.17,0.55,0.99,0.12,0.22
"HMBS",0.00012,0.062,0.87,0.12,0.98,0.98,0.13,0.37,0.6,0.056,0.0066,1,0.18,0.39,0.92,0.014,0.0031,0.11,0.0047,0.047,0.033,0.99,0.51,0.24,0.25,0.29,0.3,0.94,0.52,0.54,0.0061,0.75,1
"HMCES",0.046,0.97,0.16,0.011,0.38,0.37,0.53,0.55,0.92,0.28,0.0012,0.015,0.38,0.18,0.71,0.0061,0.17,0.92,0.49,0.25,0.0023,0.15,0.34,0.47,0.89,0.76,0.44,0.45,0.43,0.072,0.45,0.69,1
"HMCN1",0.31,0.013,0.8,0.66,0.31,0.32,0.8,0.81,0.71,0.92,0.33,0.02,0.044,0.68,0.97,0.71,0.26,0.4,0.0032,0.3,0.98,0.92,0.4,0.32,0.51,0.46,0.21,0.044,0.86,0.16,0.39,0.5,0.074
"HMCN2",0.88,0.62,0.3,0.11,0.82,0.25,0.46,0.44,0.35,0.32,0.51,0.26,0.0066,1,0.69,0.59,0.01,0.81,0.2,0.0034,0.21,0.83,0.26,0.25,0.0041,0.99,0.28,0.74,0.43,0.77,0.0051,0.71,0.02
"HMG20A",0.77,0.61,0.36,0.73,0.65,0.3,0.27,0.54,0.89,0.23,0.27,0.0014,0.73,0.11,0.99,0.38,0.48,0.45,0.29,0.7,0.4,0.94,0.71,0.86,0.26,0.04,0.4,0.59,0.22,0.77,0.94,0.5,0.81
"HMG20B",0.0033,0.03,0.98,0.029,0.2,0.86,0.14,0.22,0.71,0.42,0.59,0.47,0.16,0.5,0.00046,0.56,0.36,0.84,0.005,0.74,0.27,0.5,0.81,0.96,0.93,0.01,0.39,0.079,0.94,0.87,0.22,0.59,0.11
"HMGA1",0.029,0.21,0.37,0.85,0.15,0.28,0.56,0.082,0.4,0.017,0.027,0.25,0.00056,0.057,0.018,0.00033,0.0014,0.23,0.0014,0.39,0.039,0.8,0.32,0.69,0.0082,0.16,0.044,0.66,0.88,0.36,0.38,0.12,0.05
"HMGA1P1",1,0.39,1,0.76,0.61,0.96,0.58,1,1,0.27,1,1,1,0.091,1,1,0.98,0.11,1,1,1,1,1,0.075,1,0.7,1,0.97,1,1,0.64,0.59,0.89
"HMGA1P2",1,0.082,0.83,0.22,0.94,0.25,1,0.92,0.58,0.22,0.55,0.32,0.46,0.71,0.078,1,0.99,0.33,1,0.91,0.15,0.96,0.041,0.43,1,0.9,0.56,0.52,0.52,0.34,0.72,1,0.85
"HMGA1P3",0.65,0.9,1,0.71,1,0.72,0.61,0.29,1,0.43,1,1,1,0.93,1,1,0.82,0.86,1,0.84,1,1,1,0.2,1,0.14,0.32,0.043,0.34,1,0.4,1,1
"HMGA1P4",1,0.11,0.86,0.33,0.74,0.025,0.33,0.32,0.13,0.24,0.29,0.0046,0.0061,0.55,0.24,0.078,0.85,0.3,0.056,0.48,0.16,1,0.43,0.69,0.34,0.083,0.19,0.56,0.45,0.11,0.66,1,0.93
"HMGA1P5",1,1,1,1,1,0.77,1,1,1,1,1,1,1,1,1,1,0.29,1,1,1,1,1,1,0.1,1,1,0.35,1,1,0.33,1,1,1
"HMGA1P8",0.76,0.37,0.34,0.13,0.6,0.43,0.24,0.53,0.079,0.041,1,0.041,0.74,0.081,0.15,1,0.62,0.8,0.99,0.67,0.49,0.072,0.17,0.17,0.88,0.53,0.3,0.46,0.49,0.58,0.2,0.81,0.053
"HMGA2",0.00061,0.14,0.76,0.39,0.17,0.99,0.82,0.67,0.19,0.017,0.42,0.035,0.047,0.52,1,0.12,0.028,0.93,0.01,0.073,0.00019,0.79,0.33,0.96,0.0014,0.53,0.41,0.48,0.38,0.49,0.53,0.28,0.1
"HMGB1",0.007,0.68,0.87,0.083,0.76,0.63,0.58,0.092,0.83,0.51,0.059,0.023,0.95,0.067,0.32,0.44,0.033,0.89,0.3,0.67,0.097,0.96,0.19,0.86,0.11,0.59,0.3,0.3,0.42,0.046,0.48,0.23,0.21
"HMGB1P1",0.63,0.19,0.33,0.19,0.9,0.16,0.79,0.78,0.55,0.076,0.61,0.71,0.67,0.37,0.031,0.096,0.75,0.19,0.73,0.87,0.87,0.067,0.12,0.29,0.98,0.89,0.46,0.57,0.88,0.73,0.22,0.66,0.39
"HMGB1P10",0.04,0.85,0.15,0.076,0.39,0.56,0.74,0.27,0.59,0.046,0.78,0.53,0.39,0.74,0.63,0.097,0.32,0.21,0.76,0.51,0.39,0.96,0.24,0.15,0.85,0.76,0.88,0.77,0.29,0.6,0.84,0.74,1
"HMGB1P11",1,1,1,1,1,1,1,0.49,1,1,1,0.23,0.34,1,1,1,1,0.12,1,0.11,1,1,1,0.82,1,1,0.69,1,1,0.91,1,0.56,1
"HMGB1P13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HMGB1P14",0.18,0.96,0.54,0.96,0.62,0.48,0.44,0.23,0.85,0.11,0.47,0.98,0.39,0.12,0.0034,0.081,0.13,0.42,0.57,0.71,0.95,0.57,0.33,0.98,0.58,0.37,0.33,0.35,0.61,0.88,0.25,0.17,0.7
"HMGB1P17",1,1,1,1,1,1,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HMGB1P19",1,1,1,1,1,1,1,0.24,1,1,1,1,1,0.65,1,1,1,1,1,0.24,1,1,1,1,1,1,0.84,0.37,1,1,1,1,1
"HMGB1P20",1,1,1,1,1,1,0.73,0.29,1,1,1,1,1,0.19,1,1,1,1,1,1,1,1,1,1,1,1,0.74,1,1,1,1,1,1
"HMGB1P21",1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.71,1,1,1,1,1,1
"HMGB1P23",1,1,1,1,1,1,1,0.24,1,1,0.42,1,1,0.57,1,1,1,1,1,1,1,1,1,1,1,1,0.37,1,1,1,1,1,1
"HMGB1P24",0.014,0.63,0.45,0.27,1,0.71,0.82,0.63,1,0.16,0.56,1,1,0.91,0.75,0.055,0.37,0.34,0.16,0.51,0.29,1,0.7,0.91,1,0.97,0.82,0.51,1,1,0.78,0.8,1
"HMGB1P3",0.88,0.78,0.49,0.43,0.17,0.93,0.52,0.14,0.24,0.99,1,0.0049,0.043,0.38,1,0.29,0.45,0.48,0.67,0.55,0.23,0.94,0.6,0.62,0.46,0.019,0.047,0.57,0.51,0.58,0.8,0.61,0.11
"HMGB1P30",1,1,1,1,1,1,1,1,1,1,1,1,1,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
